Valid,species,2n,haploid
Tityus,Tityus_costatus,-16,8
Tityus,Tityus_carrilloi,-6,3
Tityus,Tityus_martinpaechi,6,3
Tityus,Tityus_smithii,6,3
Isometrus,Isometrus_thwaitesi,8,4
Isometrus,Isometrus_thwaitesi,8,4
Charmus,Charmus_laneus,9,4.5
Tityus,Tityus_bahiensis,9,4.5
Lychas,Lychas_mucronatus,10,5
Lychas,Lychas_obsti,10,5
Reddyanus,Reddyanus_schwottiĘKova_’k,11,5.5
Reddyanus,Reddyanus_schwotti,11,5.5
Ananteris,Ananteris_balzanii,12,6
Isometrus,Isometrus_maculatus,12,6
Reddyanus,Reddyanus_justi,12,6
Tityus,Tityus_obscurus,"11, 12, 13, 14, 16",6
Grosphus,Grosphus_sp.,13,6.5
Tityus,Tityus_confluens,13,6.5
Buthoscorpio,Buthoscorpio_sarasinorum,14,7
Hemilychas,Hemilychas_alexandrinus,14,7
Hottentotta,Hottentotta_arenaceus,14,7
Hottentotta,Hottentotta_saulcyi,14,7
Hottentotta,Hottentotta_saulcyi,14,7
Hottentotta,Hottentotta_sousai,14,7
Isometroides,Isometroides_vescus,14,7
Isometrus,Isometrus_melanodactylus,14,7
Lychas,Lychas_marmoreus,"12, 14, 15",7
Lychas,Lychas_scutilus,14,7
Reddyanus,Reddyanus_furaiĘKova_’k,14,7
Reddyanus,Reddyanus_rolcikiĘKova_’k,14,7
Reddyanus,Reddyanus_rolciki,14,7
Tityus,Tityus_apiacas,14,7
Tityus,Tityus_fasciolatus,14,7
Tityus,Tityus_trivittatus,14,7
Babycurus,Babycurus_jacksoni,16,8
Heteroctenus,Heteroctenus_abudi,16,8
Heteroctenus,Heteroctenus_princeps,16,8
Hottentotta,Hottentotta_conspersus,16,8
Hottentotta,Hottentotta_hottentotta,16,8
Hottentotta,Hottentotta_judaicus,16,8
Hottentotta,Hottentotta_minusalta,16,8
Lychas,Lychas_krali,16,8
Lychas,Lychas_srilankensis,16,8
Lychas,Lychas_variatus,"14, 16",8
Parabuthus,Parabuthus_abyssinicus,16,8
Parabuthus,Parabuthus_kabateki,16,8
Parabuthus,Parabuthus_robustus,16,8
Parabuthus,Parabuthus_somalilandus,16,8
Reddyanus,Reddyanus_basilicus,"15, 16",8
Reddyanus,Reddyanus_basilicus,"15, 16",8
Reddyanus,Reddyanus_ceylonensis,16,8
Reddyanus,Reddyanus_ceylonensis,16,8
Reddyanus,Reddyanus_majkusiĘKova_’k,16,8
Thaicharmus,Thaicharmus_sp.,16,8
Tityus,Tityus_metuendus,"15, 16",8
Tityus,Tityus_paraguayensis,16,8
Tityus,Tityus_stigmurus,-16,8
Uroplectes,Uroplectes_formosus,16,8
Reddyanus,Reddyanus_loebli,17,8.5
Reddyanus,Reddyanus_loebli,17,8.5
Gint,Gint_banfasae,"18, 19",9
Parabuthus,Parabuthus_kajibu,18,9
Parabuthus,Parabuthus_kajibu,18,9
Parabuthus,Parabuthus_mossambicensis,18,9
Parabuthus,Parabuthus_planicauda,18,9
Parabuthus,Parabuthus_raudus,18,9
Tityus,Tityus_aba,18,9
Tityus,Tityus_paraguayensis,"16, 17, 18",9
Zabius,Zabius_fuscus,18,9
Buthacus,Buthacus_stockmanni,20,10
Buthacus,Buthacus_stockmanni,20,10
Mesobuthus,Mesobuthus_rahsenae,20,10
Parabuthus,Parabuthus_capensis,20,10
Parabuthus,Parabuthus_glabrimanus,20,10
Parabuthus,Parabuthus_pallidus,20,10
Parabuthus,Parabuthus_pallidus,20,10
Parabuthus,Parabuthus_raudus,20,10
Parabuthus,Parabuthus_transvaalicus,20,10
Somalicharmus,Somalicharmus_whitmanae,20,10
Tityus,Tityus_magnimanus,20,10
Tityus,Tityus_mana,20,10
Tityus,Tityus_maranhensis,20,10
Tityus,Tityus_matogrossensis,20,10
Tityus,Tityus_mattogrossensis,"19, 20",10
Tityus,Tityus_pusillus,"19, 20",10
Tityus,Tityus_ythieri,20,10
Troglorhopalurus,Troglorhopalurus_translucidus,20,10
Uroplectes,Uroplectes_chubbi,20,10
Buthus,Buthus_berberensis,21,10.5
Apistobuthus,Apistobuthus_pterygocercus,22,11
Barbaracurus,Barbaracurus_sofomarensis,22,11
Barbaracurus,Barbaracurus_sofomarensis,22,11
Buthus,Buthus_atlantis,22,11
Buthus,Buthus_awashensis,22,11
Buthus,Buthus_awashensis,22,11
Buthus,Buthus_maroccanus,22,11
Buthus,Buthus_occitanus,22,11
Buthus,Buthus_pococki,22,11
Buthus,Buthus_zeylensis,22,11
Buthus,Buthus_zeylensis,22,11
Compsobuthus,Compsobuthus_acutecarinatus,22,11
Compsobuthus,Compsobuthus_acutecarinatus,22,11
Compsobuthus,Compsobuthus_arabicus,22,11
Compsobuthus,Compsobuthus_arabicus,22,11
Compsobuthus,Compsobuthus_eritreaensis,22,11
Compsobuthus,Compsobuthus_eritreaensis,22,11
Compsobuthus,Compsobuthus_maindroni,22,11
Compsobuthus,Compsobuthus_maindroni,22,11
Compsobuthus,Compsobuthus_matthiesseni,22,11
Compsobuthus,Compsobuthus_matthiesseni,22,11
Compsobuthus,Compsobuthus_schmiedeknechti,22,11
Compsobuthus,Compsobuthus_ullrichi,22,11
Hottentotta,Hottentotta_tamulus,22,11
Hottentotta,Hottentotta_ugandensis,22,11
Hottentotta,Hottentotta_sp.,22,11
Leirus,Leirus_abdullahbayram,22,11
Leirus,Leirus_abdullahbayram,22,11
Leiurus,Leiurus_hebraeus,22,11
Leiurus,Leiurus_quinquestriatus,"22, XY",11
Leiurus,Leiurus_sp.,22,11
Mesobuthus,Mesobuthus_eupeus,22,11
Mesobuthus,Mesobuthus_haarlovi,22,11
Mesobuthus,Mesobuthus_mesopotamicus,22,11
Odontobuthus,Odontobuthus_doriae,22,11
Orthochirus,Orthochirus_glabrifrons,22,11
Orthochirus,Orthochirus_innesi,22,11
Rhopalurus,Rhopalurus_laticauda,22,11
Tityus,Tityus_elii,22,11
Tityus,Tityus_fuhrmanni,22,11
Tityus,Tityus_gaffini,22,11
Troglorhopalurus,Troglorhopalurus_lacrau,22,11
Uroplectes,Uroplectes_planimanus,22,11
Barbaracus,Barbaracus_feti,23,11.5
Gint,Gint_dabakalo,23,11.5
Heteroctenus,Heteroctenus_garridoi,23,11.5
Androctonus,Androctonus_amoreuxi,24,12
Androctonus,Androctonus_amoreuxi,24,12
Androctonus,Androctonus_australis,24,12
Androctonus,Androctonus_bicolor,24,12
Androctonus,Androctonus_bicolor,24,12
Androctonus,Androctonus_bourdoni,24,12
Androctonus,Androctonus_bourdoni,24,12
Androctonus,Androctonus_crassicauda,24,12
Androctonus,Androctonus_gonneti,24,12
Androctonus,Androctonus_liouvillei,24,12
Androctonus,Androctonus_maelfaiti,24,12
Androctonus,Androctonus_mauritanicus,24,12
Androctonus,Androctonus_sergenti,24,12
Androctonus,Androctonus_tenuissimus,24,12
Centruroides,Centruroides_gracilis,24,12
Hottentotta,Hottentotta_flavidulus,24,12
Hottentotta,Hottentotta_trilineatus,24,12
Mesobuthus,Mesobuthus_macmahoni,24,12
Mesobuthus,Mesobuthus_martensii,24,12
Orthochirus,Orthochirus_afar,24,12
Tityus,Tityus_ecuadoriensis,24,12
Uroplectes,Uroplectes_olivaceus,24,12
Uroplectes,Uroplectes_vittatus,24,12
Ischnotelson,Ischnotelson_guanambiensis,25,12.5
Barbaracurus,Barbaracurus_zambonelli,26,13
Barbaracurus,Barbaracurus_yemenensis,26,13
Buthacus,Buthacus_nigroaculeatus,26,13
Centruroides,Centruroides_baracoae,26,13
Centruroides,Centruroides_exilicauda,26,13
Centruroides,Centruroides_vittatus,26,13
Ischnotelson,Ischnotelson_peruassu,26,13
Ischnotelson,Ischnotelson_sp.,26,13
Microbuthus,Microbuthus_gardneri,26,13
Microbuthus,Microbuthus_kristensenorum,26,13
Microbuthus,Microbuthus_satyrus,26,13
Microbuthus,Microbuthus_satyrus,26,13
Physoctonus,Physoctonus_debilis,26,13
Tityus,Tityus_neglectus,"26, 27",13
Uroplectes,Uroplectes_flavoviridis,26,13
Uroplectes,Uroplectes_otjimbinguensis,26,13
Brachistosternus,Brachistosternus_alienus,28,14
Aegeobuthus,Aegeobuthus_gibbosus,28,14
Babycurus,Babycurus_buettneri,28,14
Buthacus,Buthacus_macrocentrus,28,14
Buthacus,Buthacus_macrocentrus,28,14
Jaguajir,Jaguajir_agamemnon,28,14
Jaguajir,Jaguajir_pintoi,28,14
Jaguajir,Jaguajir_rochae,28,14
Uroplectes,Uroplectes_emiliae,28,14
Uroplectes,Uroplectes_fischeri,28,14
Tityus,Tityus_crassimanus,29,14.5
Babycurus,Babycurus_gigas,30,15
Gint,Gint_gaitako,30,15
Neochactas,Neochactas_sp.,30,15
Tityus,Tityus_uruguayensis,31,15.5
Tityus,Tityus_curupi,32,16
Tityus,Tityus_neibae,32,16
Gint,Gint_maidensis,34,17
Bothriurus,Bothriurus_sp.,36,18
Barbaracurus,Barbaracurus_somalicus,36,18
Gint,Gint_amoudensis,"35, 36",18
Parabuthus,Parabuthus_mossambicensis,36,18
Chactopsis,Chactopsis_amazonica,36,18
Brotheas,Brotheas_silvestris,40,20
Neocalchas,Neocalchas_gruberi,40,20
Bothriurus,B._araguayae,42,21
Bothriurus,Bothriurus_araguayae,44,22
Gint,Gint_gubanensis,45,22.5
Bothriurus,Bothriurus_rochensis,46,23
Brachistosternus,Brachistosternus_ferrugineus,46,23
Brachistosternus,Brachistosternus_montanus,46,23
Alpiscorpius,Alpiscorpius_germanus,46,23
Alpiscorpius,Alpiscorpius_kappa,46,23
Alpiscorpius,Alpiscorpius_lambda,46,23
Bothriurus,Bothriurus_flavidus,48,24
Timogenes,Timogenes_elegans,48,24
Brotheas,Brotheas_paraensis,48,24
Hadogenes,Hadogenes_trichiurus,48,24
Scorpiops,Scorpiops_neradi,48,24
Scorpiops,Scorpiops_neradi,48,24
Bothriurus,Bothriurus_prospicuus,50,25
Brotheas,Brotheas_amazonicus,50,25
Brotheas,Brotheas_amazonicus,50,25
Brotheas,Brotheas_amazonicus,50,25
Nebo,Nebo_hierichonticus,50,25
Brotheas,Brotheas_amazonicus,52,26
Scorpio,Scorpio_marus,52,26
Neochactas,Neochactas_parvulus,54,27
Alpiscorpius,Alpiscorpius_delta,54,27
Heterometrus,Heterometrus_laevigatus,54,27
Heterometrus,Heterometrus_spinifer,56,28
Urodacus,Urodacus_elongateus,56,28
Alpiscorpius,Alpiscorpius_omikron,58,29
Alpiscorpius,Alpiscorpius_beta,60,30
Alpiscorpius,Alpiscorpius_sigma,60,30
Hadogenes,Hadogenes_zumptiĘNewlands,60,30
Gigantometrus,Gigantometrus_swammerdami,60,30
Heterometrus,Heterometrus_sp.,62,31
Scorpiops,Scorpiops_schumacheri,63,31.5
Scorpiops,Scorpiops_schumacheri,63,31.5
Deccanometrus,Deccanometrus_bengalensis,64,32
Heterometrus,Heterometrus_longimanus,64,32
Scorpiops,Scorpiops_montanus,70,35
Scorpiops,Scorpiops_montanus,70,35
Hadogenes,Hadogenes_phyllodes,72,36
Chaerilus,Chaerilus_majkusi,76,38
Alpiscorpius,Alpiscorpius_gamma,78,39
Euscorpius,Euscorpius_carpathicus,70-84,39
Hadogenes,Hadogenes_gracilis,80,40
Hadogenes,Hadogenes_zuluanus,80,40
Scorpiops,Scorpiops_krabiensis,81,40.5
Scorpiops,Scorpiops_krabiensis,81,40.5
Calchas,Calchas_nordmanni,82,41
Hadogenes,Hadogenes_troglodytes,84,42
Alpiscorpius,Alpiscorpius_ypsilon,86,43
Chersonesometrus,Chersonesometrus_fulvipes,86,43
Alpiscorpius,Alpiscorpius_omega,87,43.5
Alpiscorpius,Alpiscorpius_ypsilon,87,43.5
Scorpiops,Scorpiops_kautti,87,43.5
Scorpiops,Scorpiops_kautti,87,43.5
Scorpiops,Scorpiops_pakseensis,87,43.5
Scorpiops,Scorpiops_pakseensis,87,43.5
Alpiscorpius,Alpiscorpius_omega,88,44
Euscorpius,Euscorpius_aladaglarensis,88,44
Hadogenes,Hadogenes_gunningi,88,44
Alpiscorpius,Alpiscorpius_omega,89,44.5
Chaerilus,Chaerilus_hofereki,90,45
Alpiscorpius,Alpiscorpius_alpha,90,45
Alpiscorpius,Alpiscorpius_ypsilon,90,45
Euscorpius,Euscorpius_sadilekiĘKova_’k,90,45
Alpiscorpius,Alpiscorpius_ypsilon,92,46
Euscorpius,Euscorpius_thracicus,92,46
Scorpiops,Scorpiops_thaomischi,94,47
Scorpiops,Scorpiops_thaomischi,94,47
Scorpiops,Scorpiops_wongpromi,95,47.5
Scorpiops,Scorpiops_wongpromi,95,47.5
Chaerilus,Chaerilus_granulatus,96,48
Hadogenes,Hadogenes_bicolor,96,48
Hadogenes,Hadogenes_granulatus,96,48
Sahyadrimetrus,Sahyadrimetrus_scaber,96,48
Scorpiops,Scorpiops_leptochirus,96,48
Scorpiops,Scorpiops_leptochirus,96,48
Scorpiops,Scorpiops_problematicus,97,48.5
Scorpiops,Scorpiops_problematicus,97,48.5
Scorpiops,Scorpiops_birulai,99,49.5
Scorpiops,Scorpiops_birulai,99,49.5
Hadogenes,Hadogenes_hahnii,100,50
Chaerilus,Chaerilus_pulcherrimus,102,51
Scorpiops,Scorpiops_orioni,103,51.5
Scorpiops,Scorpiops_orioni,103,51.5
Chaerilus,Chaerilus_cimrmani,104,52
Scorpiops,Scorpiops_anthracinus,104,52
Scorpiops,Scorpiops_citadelle,104,52
Scorpiops,Scorpiops_citadelle,104,52
Scorpiops,Scorpiops_sherwoodae,104,52
Scorpiops,Scorpiops_sherwoodae,104,52
Scorpiops,Scorpiops_anthracinus,105,52.5
Scorpiops,Scorpiops_anthracinus,105,52.5
Scorpiops,Scorpiops_oligotrichus,105,52.5
Scorpiops,Scorpiops_oligotrichus,105,52.5
Scorpiops,Scorpiops_phatoensis,105,52.5
Scorpiops,Scorpiops_phatoensis,105,52.5
Hadogenes,Hadogenes_minor,106,53
Chaerilus,Chaerilus_neradorum,108,54
Megacornus,Megacornus_seductus,109,54.5
Scorpiops,Scorpiops_dii,109,54.5
Scorpiops,Scorpiops_dii,109,54.5
Euscorpius,Euscorpius_janstaiĘKova_’k,112,56
Srilankametrus,Srilankametrus_gravimanus,112,56
Hadogenes,Hadogenes_weygoldti,113,56.5
Chaerilus,Chaerilus_kautti,118,59
Pandinurus,Pandinurus_hangarale,120,60
Pandinurus,Pandinurus_kmoniceki,120,60
Pandinus,Pandinus_imperator,120,60
Chaerilus,Chaerilus_sejnai,124-126?,62
Hadogenes,Hadogenes_lawrencei,132,66
Chaerilus,Chaerilus_tichyi,136,68
Megacornus,Megacornus_segmentatus,144,72
Scorpiops,Scorpiops_thailandus,147,73.5
Scorpiops,Scorpiops_thailandus,147,73.5
Megacornus,Megacornus_granosus,148,74
Hadogenes,Hadogenes_tityrus,168,84
Hadogenes,Hadogenes_sp.,174,87
Chaerilus,Chaerilus_stockmannorum,186,93
Brachistosternus,Brachistosternus_pentheri,"46, 42","23, 21"