Clade,Higer_Taxonomy,Age
Accipitriformes,Aves,60
Anabantiformes,Teleostei,73
Anura,Amphibia,210
Araneae,Arachnida,350
Asteraceae,Angiosperms,160
Blattodea,Insecta,270
Brassicaceae,Angiosperms,118
Bryophytes,,488
Carabidae,Insecta,103
Carnivora,Mammalia,94
Caudata,Amphibia,415
Cetacea,Mammalia,34
Characiformes,Teleostei,108
Chiroptera,Mammalia,62
Chondrichthyes,Chondrichthyes,413
Chrysomelidae,Insecta,136
Cichlidae,Teleostei,60
Coccinellidae,Insecta,219
Cricetidae,Mammalia,31
Curculionidae,Insecta,95
Cyprinidae,Teleostei,90
Drosophilidae,Insecta,62
Dytiscidae,Insecta,144
Fabaceae,Angiosperms,68
Fungi,,642
Galliformes,Aves,67
Gekkonidae,Squamata,78
Gobiidae,Teleostei,52
Gymnospermae,,304
Hemiptera,Insecta,258
Hydrophilidae,Insecta,133
Hymenoptera,Insecta,240
Iguania,Squamata,146
Lepidoptera,Insecta,102
Liliaceae,Angiosperms,119
Magnoliaceae,Angiosperms,42
Marsupialia,Mammalia,78
Muridae,Mammalia,24.5
Nothobranchiidae,Teleostei,73
Odonata,Insecta,67
Orchidaceae,Angiosperms,17
Orthoptera,Insecta,74
Passeriformes,Aves,64
Passifloraceae,Angiosperms,50
Phasmatodea,Insecta,140
Primates,Mammalia,74
Pteridophytes,,429
Rubiaceae,Angiosperms,72
Scarabidae,Insecta,180
Scincoidea,Squamata,156
Scorpiones,Arachnida,239
Serpentes,Squamata,124
Siluriformes,Teleostei,96
Solanaceae,Angiosperms,51
Tenebrionidae,Insecta,180
Testudines,,201